Registro_ANS,CNPJ,Razao_Social,Nome_Fantasia,Modalidade,Logradouro,Numero,Complemento,Bairro,Cidade,UF,CEP,DDD,Telefone,Fax,Endereco_eletronico,Representante,Cargo_Representante,Regiao_de_Comercializacao,Data_Registro_ANS
418111,9.45235E+13,ODONTOCLINICA RCC LTDA. S/S,,Odontologia de Grupo,AVENIDA RIO BRANCO ,209,SALA 3,SãO PELEGRINO,Caxias do Sul,RS,95010060,54,30255255,,planoodontologico@odontoclinica24h.com.br,ZILSON LUIZ RISSON,DIRETOR,6,5/31/2011
422924,4.06502E+13,ODONTOCOOP - OPERADORA DE PLANOS DE SAÚDE LTDA,ODONTOCARD,Odontologia de Grupo,RUA DOUTOR PEDRO MONTEIRO,54,SALA 02,CENTRO,Maceió,AL,57020380,82,30214141,,administrativo@odontocardoficial.com.br,CLEWERTON FARIAS DE BRITO,SÓCIO ADMINISTRADOR,,8/11/2021
389854,2.75146E+12,ODONTOGROUP SISTEMA DE SAÚDE LTDA.,ODONTOGROUP,Odontologia de Grupo,SAUS QUADRA 04 - BL. A,SALAS 1101/1112,ED. VICTORIA OFFICE TOWER,ASA SUL,Brasília,DF,70070938,61,30386011,8007043663,odontogroup@odontogroup.com.br,ANA REGINA MARTINS CERQUEIRA SALGADO,DIRETORA GERAL,3,12/16/1998
417831,1.03641E+13,ODONTOLIVE OPERADORA DE PLANOS ODONTOLÓGICOS LTDA.,ODONTO LIVE,Odontologia de Grupo,RUA ABRÃO ANTONIO,453,,JARDIM PLANALTO,Birigui,SP,16203520,18,36430446,36414257,aranieri@odontolive.com,ANTONIO AUGUSTO POLIZEL RANIERI,SÓCIO - DIRETOR,1,1/24/2011
419184,1.54419E+13,ODONTOMAIS SERVIÇOS ODONTOLÓGICOS LTDA - ME,ODONTOMAIS,Odontologia de Grupo,RUA CORONEL CASCUDO,331,,CIDADE ALTA,Natal,RN,59025260,84,32213918,32213918,ADMODONTOMAIS@HOTMAIL.COM,CLIMÉRIO DE ALMEIDA MAIA NETO,ADMINISTRADOR,5,11/11/2013
419583,1.7211E+13,ODONTOMAXI OPERADORA DE PLANOS ODONTOLÓGICOS LTDA,ODONTOMAXI,Odontologia de Grupo,RUA DAS PITANGUEIRAS,18,SALA 72 - 7º ANDAR,JARDIM PITANGUEIRAS I,Jundiaí,SP,13202450,11,45274800,,flavia.magalhaes@odontomaxi.com.br,FLÁVIA MAGALHÃES DA SILVA,SÓCIO-ADMINISTRADOR,6,10/6/2014
423238,4.55055E+13,ODONTOPLAN PLANOS ODONTOLOGICOS LTDA,,Odontologia de Grupo,RUA BOM SUCESSO ,734.0,CONJ 10,CIDADE MAE DO CEU ,São Paulo,SP,3305000,11,981383504,,toninho@asssegurosesaude.com.br,RICARDO ROSSI PEDROZA,PROPRIETARIO ,4,6/8/2022
301949,5.81192E+13,ODONTOPREV S/A,ODONTOPREV,Odontologia de Grupo,ALAMEDA ARAGUAIA ,2104,ANDAR 21 CONJ 211 AO 214,ALPHAVILLE INDUSTRIAL,Barueri,SP,6455000,11,21686870,21812211,rcury@odontoprev.com.br,ROBERTO SEME CURY,REPRESENTANTE LEGAL,1,12/18/1998
412040,3.61946E+11,ODONTOREAL LTDA.,ODONTOREALE,Odontologia de Grupo,AV. GOV. CARLOS DE LIMA CAVALCANTI,229,,DERBY,Recife,PE,50070110,81,30718299,,odontoreale@gmail.com,ALEXANDRE JOSÉ FERRAZ,SÓCIO GERENTE,6,8/29/2000
416738,8.70898E+12,OESTE SAÚDE ASSISTÊNCIA A SAÚDE SUPLEMENTAR S.A,OESTE SAÚDE,Medicina de Grupo,AVENIDA ONZE DE MAIO,1521,,VILA LIBERDADE,Presidente Prudente,SP,19050050,18,39185105,,oestesaude@oestesaude.com.br,MARCELO DE TOLEDO CERQUEIRA,DIRETOR PRESIDENTE,6,10/3/2008
422185,3.64147E+13,OLIVA ADMINISTRADORA DE BENEFICIOS LTDA,,Administradora de Benefícios,AVENIDA NOSSA SENHORA DE COPACABANA,817,SALA 601,COPACABANA,Rio de Janeiro,RJ,22050002,,,,andre.reis@olivabeneficios.com.br,ANDRÉ LUIZ REIS FERREIRA,REPRESENTANTE LEGAL,6,3/16/2020
424030,5.29179E+13,OMEGA ODONTO OPERADORA DE PLANOS ODONTOLOGICOS LTDA.,,Odontologia de Grupo,RUA BARAO DE JAGUARA,1214,ANDAR 2 SALA 01,CENTRO,Campinas,SP,13015002,19,984195150,,operadoraomegaodonto@gmail.com,ELENY LÚCIO CASTILHO,SOCIO ADMINISTRADOR,,4/29/2024
359661,4.46734E+13,OMINT SERVIÇOS DE SAÚDE S.A.,OMINT,Medicina de Grupo,RUA FRANZ SCHUBERT,33,,JD PAULISTANO,São Paulo,SP,1454020,11,21324000,38134949,relacionamento-ans@omint.com.br,ANDRE DO AMARAL COUTINHO,DIRETOR GERAL,4,12/16/1998
304212,9.22406E+13,ON MED ASSISTÊNCIA MÉDICA LTDA,ON MED,Medicina de Grupo,AV CEL FREDERICO LINK ,714,SALA 302,IDEAL,Novo Hamburgo,RS,93336002,,,,diretoria@onmedsaude.com.br,TAMIRES BRANDAO OLIVEIRA PENIDO,DIRETORA ADMNISTRATIVO,5,1/25/1999
422673,3.73039E+13,OPERADORA DE PLANOS ODONTOLOGICOS ULTRAODONTO LTDA,ULTRAODONTO,Odontologia de Grupo,RUA CARLOS DIAS DA SILVA,37-A,,ITINGA,Lauro de Freitas,BA,42738560,71,30514003,,meireantunes@ultraodonto.com.br,JONE LIMA MOREIRA,SOCIO ADMINISTRADOR,3,2/9/2021
420743,2.51866E+13,OPERADORA DE PLANOS ODONTOLÓGICOS ODONTOCLÍNICA LTDA,ODONTOCLÍNICA PLANOS ODONTOLÓGICOS,Odontologia de Grupo,RUA 24 DE NOVEMBRO,182,,CENTRO - SERRA CAIADA,Serra Caiada,RN,59245000,84,988148097,,AGASILVA2@HOTMAIL.COM,AGAMENON SEVERIANO DA SILVA,SÓCIO ADMINISTRADOR,5,12/28/2016
419699,2.09184E+13,OPERADORA DE PLANOS PRIVADOS DE SAÚDE - SANTA CASA SAÚDE LTDA,SANTA CASA SAÚDE,Medicina de Grupo,AVENIDA FERNANDO CORREA DA COSTA,920,,VILA GLORIA,Campo Grande,MS,79004310,,,,gerenciaadm@santacasasaudecg.com.br,BEATRIZ LEMES DA SILVA,ADMINISTRADOR,6,3/5/2015
318477,2.88847E+12,OPERADORA UNICENTRAL DE PLANOS DE SAÚDE LTDA.,TOTAL MEDCARE,Medicina de Grupo,RUA ROCHA POMBO,54,,ACLIMAÇÃO,São Paulo,SP,1525010,,,,operadora.unicentral@totalmedcare.com.br,RAFAEL FRANCISCO DE ALMEIDA,DIRETOR GERENTE GERAL,4,12/21/1998
354511,2.77474E+12,OPERADORA UNIESTE DE PLANOS DE SAÚDE LTDA,SILVESTRE SAÚDE,Medicina de Grupo,RUA  DEZENOVE DE FEVEREIRO ,140,3º ANDAR ,BOTAFOGO,Rio de Janeiro,RJ,22280030,21,30318001,,diretoria@silvestresaude.com.br,NILSON FONTANA,DIRETOR ADMINISTRATIVO,4,12/21/1998
418226,1.38163E+13,OPLAN SAÚDE OPERADORA DE PLANO DE SAÚDE LTDA,OPLAN SAÚDE,Medicina de Grupo,RUA ARY PARREIRAS,201,,CENTRO ,Itaguaí,RJ,23816541,21,23919645,,debora.oliveira@oplan.com.br,VALESCA DALLIER GUALTER DE ALVARENGA ,REPRESENTANTE,6,9/13/2011
418200,8.33356E+13,ORAL BLUE LTDA,ORAL BLUE,Odontologia de Grupo,RUA EUCLIDES DA CUNHA,21,,CASTANHEIRA,Belém,PA,66645130,,,,ANS@ORALBLUE.COM.BR,SANDOVAL RIBEIRO RODRIGUES,SÓCIO-PROPRIETÁRIO,5,9/13/2011
418447,4.9421E+12,ORAL GAM ASSISTENCIA ODONTOLÓGICA LTDA,ORAL GAM ASSISTENCIA ODONTOLÓGICA LTDA,Odontologia de Grupo,AVENIDA ESTADOS UNIDOS,311,,PARQUE DAS NAçOES,Santo André,SP,9210300,11,49974869,,oralgam@terra.com.br,GIL CARLOS FERNANDES,DIRETOR TÉCNICO ,6,3/14/2012
366510,1.97237E+12,ORAL SAÚDE DE IBITINGA SERVIÇOS ODONTOLÓGICOS S/S LTDA,ORAL SAÚDE DE IBITINGA SERV. ODONTOL. S/S LTDA,Odontologia de Grupo,AVENIDA DOM PEDRO II,1095,,CENTRO,Ibitinga,SP,14940000,16,33427336,33427336,oralsaudeibitinga@uol.com.br,RENATO LUIZ MARTINS,DIRETOR,6,1/27/1999
412996,3.99091E+12,ORALE ASSISTÊNCIA ODONTOLÓGICA LTDA,ORALE,Odontologia de Grupo,AVENIDA ANITA GARIBALDI,1133,SALA 1204,ONDINA,Salvador,BA,40170136,,,,adm@orale.com.br,MARCOS BARRETO REGIS,ADMINISTRADOR,5,1/16/2001
420972,2.6766E+13,ORALPLAN PLANOS DE SAUDE ODONTOLÓGICOS LTDA,ORALPLAN,Odontologia de Grupo,AVENIDA CARAVELAS,03,SALA 28 - ED. GALERIA DIVAMAR,PRAIA DO FRANCES,Marechal Deodoro,AL,57160000,,,,diretoria@oralplan.vc,FABIO SANTOS DE ALMEIDA,REPRESENTANTE,5,7/21/2017
404772,1.62833E+12,ORION ODONTOLOGIA LTDA,,Odontologia de Grupo,AVENIDA PAULISTA,1765,"7º ANDAR, CONJ. 72 - CV 8262",BELA VISTA,São Paulo,SP,1311200,11,44782800,44782800,orion@orionodonto.com.br,PAULO CARDONA LICCA,Sócio Administrador,4,6/8/1999
416371,7.4798E+12,ORION PLANOS E SERVIÇOS ODONTOLÓGICOS LTDA,ODONTOMIX,Odontologia de Grupo,Rua Visconde de Inhaúma,468,Salão Comercial ,Centro,Ribeirão Preto,SP,14010902,,,,andrei@odontomix.com.br,ANDREI SANT' ANA MARQUES DE OLIVEIRA,SÓCIO-ADMINISTRADOR,4,9/18/2007
419991,1.84962E+13,OROS OPERADORA DE PLANOS ODONTOLÓGICOS LTDA ME,OROS OPERADORA DE PLANOS ODONTOLÓGICOS,Odontologia de Grupo,AVENIDA JOSÉ RUSCHI,246,,CENTRO,Santa Teresa,ES,29650000,27,32591077,,MARCELOSALVIATO@HOTMAIL.COM,MARCELO NASCIMENTO SALVIATO,SÓCIO ADMINISTRADOR,5,12/9/2015
423483,4.38739E+13,P4H GESTAO DE BENEFICIOS LTDA,PEOPLE 4 HEALTH BENEFICIOS,Administradora de Benefícios,Rua Dom Jaime Câmara,170,Salas 101 e 102,Centro,Florianópolis,SC,88015120,,,,ricieri@p4hsaude.com,RICIERI DO ROSARIO RAMOS,Sócio Administrador,,2/13/2023
315265,8.23531E+13,PARANA ASSISTENCIA MEDICA LTDA,PAM,Medicina de Grupo,AVENIDA CARLOS CORREA BORGES,1130,"SALA 03, TÉRREO E 1 ANDAR",JARDIM GUAPORÉ,Maringá,PR,87060215,44,32181530,32181532,juridico@drpam.com.br,ALEXANDRE DA SILVA LIMA,DIRETOR FINANCEIRO,5,12/22/1998
350141,7.6717E+13,PARANÁ CLÍNICAS - PLANOS DE SAÚDE S/A,PARANÁ CLÍNICAS,Medicina de Grupo,AVENIDA GETÚLIO VARGAS,3201,,ÁGUA VERDE,Curitiba,PR,80240041,41,33403023,33403042,info@paranaclinicas.com.br,RAQUEL REIS CORREA,DIRETORA PRESIDENTE,5,12/16/1998
415782,7.07556E+12,PARRA ODONTOLOGIA LTDA,PARRA ODONTOLOGIA - ATUAL CONVENIO,Odontologia de Grupo,RUA MARECHAL RONDON,150,,JARDIM SUMARÉ,Ribeirão Preto,SP,14025430,16,39416768,39416768,atual@atualodontologia.com.br,NEWTON BARBOSA PARRA,DIRETOR,6,10/25/2006
331988,3.94198E+13,PASA - PLANO DE ASSISTENCIA A SAUDE DO APOSENTADO DA VALE,PASA,Autogestão,AV. PRESIDENTE VARGAS,3131,"6º ANDAR, SALAS 605 e 606",CIDADE NOVA,Rio de Janeiro,RJ,20210030,21,21395702,22405625,juridico@planopasa.com.br,BRUNO CAMARA MEIRA,DIR. ADMINISTRAÇAO E FINANÇAS,4,12/22/1998
420778,1.49388E+13,PASSPORT SYSTEM ODONTOLOGIA LTDA,PASSPORT SYSTEM,Odontologia de Grupo,Avenida Rio Branco ,2672,Sala A,Setor 05,Jaru,RO,76890000,69,35211342,,nhyll_odonto@hotmail.com,NILCELIA ANA MARIN,Administrador,3,1/18/2017
422584,3.82725E+13,PB ASSISTENCIA MEDICA EU LTDA,PLANO BRASIL SAUDE,Medicina de Grupo,RUA GARIBALDI,S/N,LOTE 2A LOJA 007,ALPHAVILLE ABRANTES,Camaçari,BA,42821872,71,84312648,,michelle.pacheco@planobrasilsaude.com.br,PAULO BRITO BITTENCOURT,CEO,,1/13/2021
422355,3.61866E+13,PD BRASIL ASSISTENCIA ODONTOLOGICA LTDA,PRODENTAL BRASIL ASSISTENCIA ODONTOLOGICA,Odontologia de Grupo,RUA DR JOSE PEROBA,349,"SALAS 1105 E 1106, ED.EMPRESARIAL C. AZU",STIEP ,Salvador,BA,41770235,71,33884482,,victor@prodentalbrasil.com.br,VICTOR SILVEIRA GUSMÃO,DIRETOR EXECUTIVO,6,8/4/2020
421774,3.04952E+13,PENTÁGONO ADMINISTRADORA DE BENEFÍCIOS S/A,PENTÁGONO ADMINISTRADORA,Administradora de Benefícios,RUA DOUTOR PEDROSA,183,"CASA, CONDOMÍNIO PEDROSA DR CJ",CENTRO,Curitiba,PR,80420120,41,32771313,,pedro@sallusadministradora.com.br,PEDRO PEREIRA,REPRESENTANTE,,6/19/2019
421707,3.10979E+13,PERSONAL CARE OPERADORA DE SAÚDE SA,NORDEN PLANO DE SAÚDE,Medicina de Grupo,RUA CONDE DO PINHAL,739,-,CENTRO,Ibaté,SP,14815000,16,33632200,,contato@meunorden.com,ANTONIO MONTEIRO PINOTTI AFFONSO,SÓCIO ADMINISTRADOR,5,7/16/2019
310239,1.71468E+13,PESSOAL SAÚDE PLANOS DE ASSISTÊNCIA MÉDICA LTDA,PESSOAL SAÚDE,Medicina de Grupo,RUA JOSÉ VERSOLATO,101,Bloco A - SL 42,CENTRO,São Bernardo do Campo,SP,9750730,,,,elisangela@pessoalsaude.com.br,JOÃO VANDIR VALIM JUNIOR,SÓCIO,5,12/31/1998
419486,1.7898E+13,PLADISA PLANOS DE SAÚDE SA,PLADISA,Medicina de Grupo,RUA CORONEL FAGUNDES,100,SALA 02 - EDIFÍCIO DR. ARY DALASEN,CENTRO,Videira,SC,89560156,49,35660811,,pladisa@pladisa.com.br,JOACIR FERREIRA,DIRETOR ADMNISTRATIVO,4,9/2/2014
343463,1.55945E+13,PLAMED PLANO DE ASSISTENCIA MEDICA LTDA,PLAMED PLANO DE ASSISTENCIA MEDICA LTDA,Medicina de Grupo,RUA PROFESSOR OSMAN SANTOS OLIVEIRA ,106,,CENTRO ,Nossa Senhora das Dores,SE,49600000,79,40093100,40093121,plamed@plamed.com.br,MAÍSA CRUZ MITIDIERI,REPRESENTANTE LEGAL,5,12/30/1998
413551,4.29999E+12,PLAMEDH - PLANO DE ASSISTÊNCIA MÉDICO-HOSPITALAR LTDA,PLAMEDH,Medicina de Grupo,RUA QUINTINO BOCAIUVA,232,,CENTRO,São João del Rei,MG,36307302,32,33715795,,gerencia@plamedh.com.br,JOÃO DE FIGUEIREDO PEREIRA CURADO,ADMINISTRADOR,6,4/19/2001
423882,5.20413E+13,PLAMEDH PLANOS DE SAÚDE LTDA,PLAMEDH PLANOS  ,Medicina de Grupo,Rua Inconfindência,488,Sala 201A,Centro,Betim,MG,32600100,31,982611106,,joao.figueiredo@plamedh.com.br,JOÃO DE FIGUEIREDO PEREIRA CURADO,Diretor,,2/19/2024
324299,6.86827E+13,PLAMER PLANO MEDICO RESENDE LTDA,PLAMER - PLANO MEDICO RESENDE,Medicina de Grupo,Rua Luiz Ferreira Pinto,42,,Campo do Manejo,Resende,RJ,27520330,24,33839200,33839211,ouvidoria@plamer.com.br,ELIZANDRO GUERRA DOS SANTOS,Direto Administrativo - Financeiro,5,12/17/1998
424200,5.61972E+13,PLANO A ADMINISTRADORA DE PLANOS DE SAUDE LTDA,,Administradora de Benefícios,AVENIDA JOSE WILKER ATOR,605,SALA 237,BARRA DA TIJUCA,Rio de Janeiro,RJ,22775024,21,999434833,,leonardo@unimedicasaude.com,LIDIANE COSTA PINTO DA SILVA,SOCIO ADMINISTRADOR,,11/25/2024
363391,2.51394E+12,PLANO ASSISTENCIAL SÃO LUCAS LTDA,SÃO LUCAS SAÚDE,Medicina de Grupo,RUA DOM PEDRO II,780,3º ANDAR - SALAS 301 A 304,CENTRO,Governador Valadares,MG,35010090,33,32797600,32797600,juniorsaolucassaude@veloxmail.com.br,JOSE FERREIRA JUNIOR,DIRETOR ADMINISTRATIVO,5,1/4/1999
382281,2.20273E+13,PLANO DE ASSISTÊNCIA MÉDICA MINEIRA LTDA,PLAM,Medicina de Grupo,RUA ROOSEVELT DE OLIVEIRA,251,,APARECIDA,Uberlândia,MG,38400610,34,32318012,32318012,uniaocon@triang.com.br,NEUBER MARTINS FONSECA,DIRETOR ADMINISTRATIVO,6,1/4/1999
417106,1.07672E+13,PLANO DE ASSISTÊNCIA ODONTOLÓGICA FAUCHARD LTDA. ME,ODONTO S.A,Odontologia de Grupo,AVENIDA PROFESSOR MAGALHÃES NETO,1550,SALAS 1501 A 1504 - ED. PREMIER TOWER EM,PITUBA,Salvador,BA,41810012,71,32403176,,diretoria@odontosa.com.br,RODRIGO ALVES VASCONCELOS DE ALMEIDA,SÓCIO ADMINISTRADOR,5,10/29/2009
411582,3.63822E+12,PLANO DE SAUDE ASES LTDA.,ASES,Medicina de Grupo,RUA CONSELHEIRO OTAVIANO,130,,CENTRO,Campos dos Goytacazes,RJ,28010140,22,27262000,27330866,planoases@ases.com.br,RENATO GOMES DE SOUZA VALE,DIRETOR FINANCEIRO,5,6/27/2000
360244,2.86436E+12,PLANO DE SAÚDE ANA COSTA LTDA.,PLANO DE SAÚDE ANA COSTA LTDA.,Medicina de Grupo,AV ANA COSTA,468,,GONZAGA,Santos,SP,11060002,13,32851200,32851200,anacostasaude@anacostasaude.com.br,ALEXANDRE GINO CAMARGO ZORNIG,REPRESENTANTE LEGAL,5,12/16/1998
420166,2.46459E+13,PLANO DE SAÚDE DA SANTA CASA DE BRAGANÇA PAULISTA,SANTA CASA SAÚDE,Medicina de Grupo,RUA ALPHEU GRIMELLO,464,EDIFÍCIO SAN DOMENICO,TABOÃO,Bragança Paulista,SP,12916010,11,44818015,,rosana.lima@scsbp.com.br,JOÃO JOSÉ MARQUES,PRESIDENTE,5,7/6/2016
411256,3.01107E+12,PLANO HOSPITAL SAMARITANO LTDA,PHS SAMARITANO SAÚDE,Medicina de Grupo,AV SAO JOSE DOS CAMPOS ,256,ANDAR PISO SUPERIOR ,JARDIM NOVA EUROPA,Campinas,SP,13040145,19,32322150,,phs@samaritosaude.com.br,RICARDO DE CAPRIO,SÓCIO ADMINISTRADOR,5,5/12/2000
415936,5.98317E+12,PLANO ODONTOLÓGICO DENTALVIDAS LTDA.,DENTALVIDAS,Odontologia de Grupo,RUA MAGID ANTONIO CALIL,176,,JARDIM BOTÂNICO,Ribeirão Preto,SP,14021644,16,81643959,,atendimento@dentalvidas.com.br, ICARO VILAR MOTA GUIMARÃES,REPRESENTANTE,4,3/8/2007
423408,2.91173E+13,PLANO SIGMA SAÚDE LTDA,,Medicina de Grupo,RUA FLORIANO PEIXOTO,1009,,VILA MENDONÇA,Araçatuba,SP,16015000,18,31176391,,reginaldo.sigmasaude@gmail.com,EVALDO DE ARAÚJO SANCHEZ,SÓCIO PROPRIETÁRIO,6,12/12/2022
415987,4.43063E+12,PLANO VIDA SAUDE SERVIÇOS ODONTOLOGICOS LTDA,ORAL SANTA HELENA,Odontologia de Grupo,RUA CAMPOS,130,,SÃO JOSE,Aracaju,SE,49015220,,,32116668,financeiro@oralsantahelena.com.br,JOSAN PEREIRA TENORIO,SÓCIO-ADMINISTRATIVO,6,4/13/2007
416517,2.7043E+12,PLANODENTE LTDA.,,Odontologia de Grupo,RUA DOUTOR MILTON BANDEIRA,140,LOJA 202,CENTRO,Viçosa,MG,36570000,31,38916362,38916362,PLANODENTE@HOTMAIL.COM,MARIA HELENA PIRES SILVA,ADMINISTRADORA,6,1/22/2008
418986,1.17929E+13,PLATINUM ADMINISTRADORA DE BENEFICIOS,,Administradora de Benefícios,"SRTVS QUADRA 701, CONJUNTO L, BLOCO 02",38,"TÉRREO II, SALA 112",ASA SUL,Brasília,DF,70340906,,,,gleciana@platinumbeneficios.com.br,GLECIANA SILVA VIEIRA,ADMINISTRADORA,4,8/1/2013
420956,2.76577E+13,PLENA ADMINISTRADORA DE BENEFÍCIOS LTDA - ME,PLENA ADMINISTRADORA DE BENEFÍCIOS,Administradora de Benefícios,RUA JOÃO PESSOA DE MATOS,530,COND. ED. PRE OFFICE TOWER,PRAIA DA COSTA,Vila Velha,ES,29101115,27,37631360,,danilosassaroli@gmail.com,DANILO HADDAD SASSAROLI,Diretor Operacional,5,7/13/2017
348830,3.38763E+11,PLENA SAÚDE S.A.,PLENA SAÚDE,Medicina de Grupo,AV. RAIMUNDO PEREIRA DE MAGALHAES,12575,SALA 03,PARADA DE TAIPAS,São Paulo,SP,2989095,11,39445439,,regulatorio@plenasaude.com.br,JOSE LUIZ RANIERI,DIRETOR PRESIDENTE,4,12/30/1998
403458,1.46089E+12,PLENODONTO ASSISTÊNCIA ODONTOLÓGICA LTDA.,PLENODONTO,Odontologia de Grupo,AV. IPIRANGA,337,10º ANDAR - CJ.101,REPÚBLICA,São Paulo,SP,1046010,11,31207420,,jbosco@plenodonto.com.br,JOÃO BOSCO MUNIZ SIMON,SOCIO GERENTE,4,4/14/1999
423441,4.74321E+13,PLENUM ASSISTENCIA MEDICA  LTDA,PLENUM SAUDE ,Medicina de Grupo,QS 1 RUA 210 TORRE 03 - LOTE 34/36,S/N,SALA 312,AGUAS CLARAS ,Brasília,DF,71950770,,,,DIRETORIA@PLENUMSAUDE.COM,LUCIO ANTUNES ALVES ,SOCIO - ADMINISTRADOR,,1/18/2023
418552,9.75538E+13,PLURAL GESTÃO EM PLANOS DE SAÚDE LTDA,PLURAL ADMINISTRADORA DE BENEFICIOS,Administradora de Benefícios,AV. RIO BRANCO ,131," 5º ANDAR, SALAS 501 a 504",CENTRO,Rio de Janeiro,RJ,20040006,21,38616000,,andre@pluralsaude.com.br,ANDRÉ LUIZ CORBACHO VIANNA,DIRETOR PRESIDENTE,4,6/11/2012
417751,1.12759E+13,PLURICLUB ADMINISTRADORA DE BENEFÍCIOS LTDA.,PLURICLUB ADMINISTRADORA DE BENEFÍCIOS LTDA.,Administradora de Benefícios,SETE DE ABRIL ,230,BLOCO A CONJUNTO 102,REPÚBLICA,São Paulo,SP,1044000,11,32575258,32575258,CARECLUB@PLURICARE.COM.BR,LUIZ GUILHERME GOMES PRIMOS,ADMINISTRADOR,4,12/20/2010
351270,2.89692E+12,POLI SAUDE OPERADORA DE PLANO DE SAUDE LTDA,POLI SAUDE OPERADORA DE PLANO DE SAUDE LTDA,Medicina de Grupo,RUA PARANÁ,700,,CENTRO,Pato Branco,PR,85501074,46,32242210,,polisaude@polisaudepb.com.br,JULIANE BLEICH,REPRESENTANTE JUNTO À ANS,5,12/24/1998
415693,4.20201E+12,POLICLIN SAÚDE S/A.,,Medicina de Grupo,AV NOVE DE JULHO ,355,,JARDIM APOLO,São José dos Campos,SP,12243000,12,37972833,37972833,contato.ans@policlinsaude.com.br,CYRO ALVES DE BRITTO FILHO,DIRETOR,5,8/2/2006
316903,9.35079E+13,POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA,POLIMÉDICA SAÚDE,Medicina de Grupo,RUA GENERAL NETO,353,,FLORESTA,Porto Alegre,RS,90560020,51,32213428,32213666,polimedica@polimedica.com.br,SANDRA RENATA MARCONATO WOLF,ADMINISTRADORA,4,12/28/1998
346870,8.98902E+13,PORTO ALEGRE CLÍNICAS LTDA.,POA CLIN,Medicina de Grupo,Rua dos Andradas,955,"3º andar, apto. 302 - salas 02, 06 e 07",CENTRO HISTÓRICO ,Porto Alegre,RS,90020005,51,30417855,32873621,portoalegreclinicas@portoalegreclinicas.com.br,MARIA CRISTINA NUNES DAS CHAGAS,SÓCIA ADMINISTRADORA,4,12/22/1998
415081,6.14543E+12,PORTO DIAS SAUDE LTDA.,PORTO DIAS SAUDE,Medicina de Grupo,TRAVESSA MAURITI,3050,SALA 1,MARCO,Belém,PA,66093020,,,30843038,adrianadias@hpd.com.br,ANTONIO CARLOS CORREA DIAS,REPRESENTANTE,6,2/3/2005
582,4.54001E+12,PORTO SEGURO - SEGURO SAÚDE S/A,PORTO SEGURO SAÚDE,Seguradora Especializada em Saúde,Alameda Barão de Piracicaba,740,"Torre B, 8º andar, Lado B",CAMPOS ELISEOS,São Paulo,SP,1216012,11,33665199,33668823,diretoria@portoseguro.com.br,LUIZ VICENTE GUARANHA LAPENTA,DIRETOR DE PRECIFICAÇÃO,4,7/31/2001
418625,1.39917E+13,PORTO SEGURO SERVIÇOS ODONTOLÓGICOS LTDA.,PORTO DENTAL,Odontologia de Grupo,RUA GUAIANASES,1238,MEZANINO - PARTE,CAMPOS ELISEOS,São Paulo,SP,1204002,,,,regulacao.saude@portoseguro.com.br,LUIZ VICENTE GUARANHA LAPENTA,DIRETOR DE PRECIFICAÇÃO,4,10/8/2012
417491,1.1566E+13,PORTOMED - PORTO SEGURO SERVIÇOS DE SAUDE LTDA,,Medicina de Grupo,RUA GUAIANASES,1238,MEZANINO/PARTE,CAMPOS ELISEOS,São Paulo,SP,1204001,11,33661722,33668823,diretoria@portoseguro.com.br,LUIZ VICENTE GUARANHA LAPENTA,DIRETOR DE PRECIFICAÇÃO,4,8/13/2010
420280,2.50061E+13,POSITIVA ADMINISTRADORA DE BENEFICIOS LTDA,POSITIVA ADMINISTRADORA DE BENEFÍCIOS,Administradora de Benefícios,ALAMEDA CAMPINAS,457,"8º andar - cj, D",JARDIM PAULISTA,São Paulo,SP,1404100,11,41181040,,paulo.sampaio@positiva.com.br,PAULO HENRIQUE MOURÃO SAMPAIO,ADMINISTRADOR,1,11/8/2016
419133,1.82751E+13,POSTAL SAÚDE CAIXA DE ASSISTÊNCIA E SAÚDE DOS EMPREGADOS DOS CORREIOS,POSTAL SAÚDE,Autogestão,SHS,QUADRA 2 ,"BLOCO B,  nº 2 - Ed. TELEX - 1º e 2º and",ASA SUL,Brasília,DF,70312970,61,34256777,,ans@postalsaude.com.br,ELI PINTO DE MELO JÚNIOR,DIRETOR PRESIDENTE,1,9/25/2013
421413,2.81874E+13,PP HEALTH ADMINISTRADORA DE BENEFÍCIOS LTDA-ME,PP HEALTH ADMINISTRADORA DE BENEFÍCIOS,Administradora de Benefícios,Rua Buenos Aires,441,Sala 33,Batel,Curitiba,PR,80250070,41,30166153,,diretoria@pphealth.com.br,MAREDITH PEREIRA RIBEIRO SELL,SÓCIA ADMINISTRADORA,1,11/28/2018
422959,4.19293E+13,PRESERVE SAUDE ASSISTENCIA MEDICA LTDA,PRESERVE,Medicina de Grupo,PC GIL MOREIRA,1.0,EDIF GIL MOREIRA SALA 4,RECREIO,Vitória da Conquista,BA,45020360,,,,diretoria@preservesaude.com.br,ANUCHE DE BRITO LIRA,REPRESENTANTE LEGAL,,8/24/2021
384844,2.07228E+12,PREST ODONTO LTDA,PREST ODONTO LTDA,Odontologia de Grupo,RUA CORONEL JOÃO LEME,688,EV. 3,CENTRO,Bragança Paulista,SP,12900161,,,,diretoria@prestodonto.com.br,JOÃO BOSCO MUNIZ SIMON,SÓCIO ADMINISTRADOR,6,1/7/1999
